model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,Melanoma,1.0,0.1639170304078158,0.2818875033046309,2,4.0,0.0,1.0,2.0,0.999999954793211,1.0,0.4945652173913043,1706709571.78839,0.023885079,0.0018836349999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,1.0,0.1699965057125133,0.1603486105996185,5,16.0,1.8,0.4,3.2,0.9999999026860834,1.0,0.3826086956521739,1706709548.7676055,0.071285193,0.005645684,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,0.6666666666666666,0.1793006023016857,0.1749392297282848,3,7.0,0.3333333333333333,1.3333333333333333,2.3333333333333335,0.999999836134977,1.0,0.4756756756756757,1706709714.9924345,0.049066594,0.0127415209999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,1.0,0.1594311460219086,0.1953811519442339,3,7.0,1.0,0.3333333333333333,2.3333333333333335,0.999999819892775,1.0,0.5063063063063064,1706709787.3594315,0.032925457,0.001311519,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,1.0,0.1628090939553302,0.215799800111686,3,6.0,0.0,1.0,2.0,0.9999999994564104,1.0,0.5477477477477478,1706709761.791153,0.034206973,0.002027203,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,0.8333333333333334,0.1679254356690274,0.1706839453967084,6,20.0,0.3333333333333333,2.1666666666666665,3.3333333333333335,0.9999999986510048,1.0,0.5081521739130435,1706709618.0713944,0.1080625819999999,0.025404686,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,0.8333333333333334,0.1593412143984973,0.214544562431144,6,20.0,0.5,2.0,3.3333333333333335,0.9999999864563874,1.0,0.5643115942028986,1706709669.0918655,0.111440727,0.0138343229999999,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,0.75,0.1688406705214203,0.2838107310041659,4,10.0,0.25,1.5,2.5,0.999999993854648,1.0,0.625,1706709533.323562,0.0786497469999999,0.015028964,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,1.0,0.1681169406408004,0.1828065682398754,3,7.0,1.0,0.3333333333333333,2.3333333333333335,0.999999999792256,1.0,0.5261261261261262,1706709699.1541402,0.027063318,0.001760241,1.0,1.0,Correlation,Correlation,Correlation
at_least_M-of-N,no_discretization,Melanoma,0.0,0.1573516811579695,0.2435586747627923,3,5.0,1.0,0.6666666666666666,1.6666666666666667,0.9999998856710548,1.0,0.5027027027027028,1706709774.485275,0.260291681,0.0059137429999999,1.0,1.0,Correlation,Correlation,Correlation
