model_type,variant,dataset,M-of-N count,integrated_brier_score (train),integrated_brier_score (test),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,cancer,0,0.1292372998076741,0.1399753422354172,8,19.0,2.375,0.0,2.375,0.9904952740257728,1.0,0.2798780487804878,1.028213746,0.8504083250000001,0.174193887,1.0,0.75,Correlation,Correlation,Correlation
plain,no_discretization,cancer,0,0.1320692985511696,0.1556960310906687,7,15.0,2.142857142857143,0.0,2.142857142857143,0.9991134377735748,1.0,0.2947735191637631,0.890262374,0.6972830889999999,0.188735737,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,cancer,0,0.1291617865962064,0.1654070129973267,13,38.0,2.923076923076923,0.0,2.923076923076923,0.9950956913321845,1.0,0.1932457786116323,2.174463145,1.7219044279999998,0.445560266,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,cancer,0,0.1359919569062704,0.1587572232319453,5,13.0,2.6,0.0,2.6,0.9946453617456892,1.0,0.3466019417475728,0.544340053,0.456911822,0.083877985,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,cancer,0,0.1267792069253587,0.170964248276804,16,49.0,3.0625,0.0,3.0625,0.9579417136119988,1.0,0.2536585365853658,2.415763456,1.888946507,0.5210107540000001,0.8125,0.75,Correlation,Correlation,Correlation
plain,no_discretization,cancer,0,0.1239789965755322,0.1800316699679593,6,12.0,2.0,0.0,2.0,0.9853646946576448,1.0,0.3479674796747967,0.861797895,0.7158031469999999,0.142137283,0.8333333333333334,0.8333333333333334,Correlation,Correlation,Correlation
plain,no_discretization,cancer,0,0.1370901390907088,0.1380279958517907,4,6.0,1.5,0.0,1.5,0.9981494090052684,1.0,0.3475609756097561,0.485822869,0.4220434859999999,0.060243242,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,cancer,0,0.1314505983377964,0.1235157547519516,10,27.0,2.7,0.0,2.7,0.9722007487560084,1.0,0.2385365853658537,1.638837886,1.3199743760000002,0.312506617,0.9,0.9,Correlation,Correlation,Correlation
plain,no_discretization,cancer,0,0.1271696010829037,0.1042223096082101,6,12.0,2.0,0.0,2.0,0.9998261749466094,1.0,0.3536585365853659,0.998437681,0.8159073639999999,0.1786206089999999,1.0,1.0,Correlation,Correlation,Correlation
plain,no_discretization,cancer,0,0.1263788679024231,0.1639072211824879,5,11.0,2.2,0.0,2.2,0.999829178065296,1.0,0.4009708737864077,0.700636785,0.551189657,0.145656903,1.0,1.0,Correlation,Correlation,Correlation
